Date : 2023-05-05 15:41:54
Directory : e:\Apps\pipe_and_filter\lib
Total : 53 files,  -1588 codes, -223 comments, -283 blanks, all -2094 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| e:\Apps\pipe_and_filter\macos\Runner\Base.lproj\MainMenu.xib                          | XML          |       -343 |          0 |         -1 |       -344 |
| e:\Apps\pipe_and_filter\macos\Runner\MainFlutterWindow.swift                          | Swift        |        -12 |          0 |         -4 |        -16 |
| e:\Apps\pipe_and_filter\pubspec.yaml                                                  | YAML         |        -39 |          0 |         -5 |        -44 |
| e:\Apps\pipe_and_filter\server\server.sh                                              | Shell Script |         -6 |         -5 |         -4 |        -15 |
| e:\Apps\pipe_and_filter\sonar-project.properties                                      | Properties   |         -8 |          0 |          0 |         -8 |
| e:\Apps\pipe_and_filter\test\widget_test.dart                                         | Dart         |        -14 |        -10 |         -6 |        -30 |
| e:\Apps\pipe_and_filter\web\index.html                                                | HTML         |        -61 |        -16 |        -10 |        -87 |
| e:\Apps\pipe_and_filter\web\manifest.json                                             | JSON         |        -35 |          0 |          0 |        -35 |
| e:\Apps\pipe_and_filter\windows\flutter\generated_plugin_registrant.cc                | C++          |         -6 |         -4 |         -5 |        -15 |
| e:\Apps\pipe_and_filter\windows\flutter\generated_plugin_registrant.h                 | C++          |         -5 |         -5 |         -6 |        -16 |
| e:\Apps\pipe_and_filter\windows\runner\flutter_window.cpp                             | C++          |        -48 |         -4 |        -15 |        -67 |
| e:\Apps\pipe_and_filter\windows\runner\flutter_window.h                               | C++          |        -20 |         -5 |         -9 |        -34 |
| e:\Apps\pipe_and_filter\windows\runner\main.cpp                                       | C++          |        -30 |         -4 |        -10 |        -44 |
| e:\Apps\pipe_and_filter\windows\runner\resource.h                                     | C++          |         -9 |         -6 |         -2 |        -17 |
| e:\Apps\pipe_and_filter\windows\runner\utils.cpp                                      | C++          |        -53 |         -2 |        -10 |        -65 |
| e:\Apps\pipe_and_filter\windows\runner\utils.h                                        | C++          |         -8 |         -6 |         -6 |        -20 |
| e:\Apps\pipe_and_filter\windows\runner\win32_window.cpp                               | C++          |       -210 |        -24 |        -55 |       -289 |
| e:\Apps\pipe_and_filter\windows\runner\win32_window.h                                 | C++          |        -48 |        -31 |        -24 |       -103 |
| Total                                                                                 |              |     -1,588 |       -223 |       -283 |     -2,094 |
+---------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
